payment_id,amount,payment_method,failure_reason,attempt_number,customer_success_rate,action,recovery_success,simulated_probability
pay_009367,1396.24,WALLET,INSUFFICIENT_FUNDS,1,0.507,RETRY,0,0.2535
pay_009367,1396.24,WALLET,INSUFFICIENT_FUNDS,1,0.507,SEND_REMINDER,1,0.5535000000000001
pay_000580,4514.29,WALLET,INSUFFICIENT_FUNDS,2,0.926,RETRY,1,0.393
pay_000580,4514.29,WALLET,INSUFFICIENT_FUNDS,2,0.926,SEND_REMINDER,1,0.6930000000000001
pay_006722,4311.77,WALLET,CARD_EXPIRED,1,0.564,RETRY,0,0.132
pay_006722,4311.77,WALLET,CARD_EXPIRED,1,0.564,SEND_REMINDER,1,0.6519999999999999
pay_009010,4529.98,UPI,NETWORK_ERROR,3,0.635,RETRY,0,0.5475
pay_009010,4529.98,UPI,NETWORK_ERROR,3,0.635,SEND_REMINDER,0,0.2775
pay_001999,1586.91,CARD,BANK_ERROR,4,0.658,RETRY,1,0.5190000000000001
pay_001999,1586.91,CARD,BANK_ERROR,4,0.658,SEND_REMINDER,0,0.189
pay_005027,791.89,NETBANKING,FRAUD_SUSPECTED,3,0.635,RETRY,0,0.01
pay_005027,791.89,NETBANKING,FRAUD_SUSPECTED,3,0.635,SEND_REMINDER,0,0.01
pay_008349,2884.5,CARD,INSUFFICIENT_FUNDS,2,0.756,RETRY,0,0.308
pay_008349,2884.5,CARD,INSUFFICIENT_FUNDS,2,0.756,SEND_REMINDER,1,0.6080000000000001
pay_009436,580.62,WALLET,TIMEOUT,4,0.504,RETRY,0,0.37199999999999994
pay_009436,580.62,WALLET,TIMEOUT,4,0.504,SEND_REMINDER,0,0.14200000000000002
pay_002098,767.02,CARD,INSUFFICIENT_FUNDS,1,0.464,RETRY,1,0.232
pay_002098,767.02,CARD,INSUFFICIENT_FUNDS,1,0.464,SEND_REMINDER,1,0.532
pay_001334,5958.54,CARD,INSUFFICIENT_FUNDS,3,0.8,RETRY,0,0.26
pay_001334,5958.54,CARD,INSUFFICIENT_FUNDS,3,0.8,SEND_REMINDER,1,0.56
pay_008781,1004.52,UPI,TIMEOUT,3,0.547,RETRY,0,0.4634999999999999
pay_008781,1004.52,UPI,TIMEOUT,3,0.547,SEND_REMINDER,0,0.23350000000000004
pay_009000,3432.16,NETBANKING,TIMEOUT,2,0.864,RETRY,0,0.692
pay_009000,3432.16,NETBANKING,TIMEOUT,2,0.864,SEND_REMINDER,0,0.462
pay_001817,323.29,NETBANKING,USER_CANCELLED,1,0.502,RETRY,0,0.45100000000000007
pay_001817,323.29,NETBANKING,USER_CANCELLED,1,0.502,SEND_REMINDER,1,0.581
pay_007378,2943.36,NETBANKING,LIMIT_EXCEEDED,2,0.737,RETRY,0,0.2485
pay_007378,2943.36,NETBANKING,LIMIT_EXCEEDED,2,0.737,SEND_REMINDER,1,0.5485
pay_000516,3308.71,NETBANKING,NETWORK_ERROR,4,0.884,RETRY,1,0.6020000000000001
pay_000516,3308.71,NETBANKING,NETWORK_ERROR,4,0.884,SEND_REMINDER,0,0.332
pay_002096,1701.71,WALLET,USER_CANCELLED,3,0.595,RETRY,1,0.35750000000000004
pay_002096,1701.71,WALLET,USER_CANCELLED,3,0.595,SEND_REMINDER,1,0.48749999999999993
pay_005559,1766.27,CARD,USER_CANCELLED,4,0.732,RETRY,0,0.35600000000000004
pay_005559,1766.27,CARD,USER_CANCELLED,4,0.732,SEND_REMINDER,0,0.48599999999999993
pay_003847,4327.26,UPI,NETWORK_ERROR,2,0.974,RETRY,1,0.7869999999999999
pay_003847,4327.26,UPI,NETWORK_ERROR,2,0.974,SEND_REMINDER,1,0.5169999999999999
pay_003360,825.69,UPI,BANK_ERROR,1,0.989,RETRY,1,0.8945000000000001
pay_003360,825.69,UPI,BANK_ERROR,1,0.989,SEND_REMINDER,0,0.5645
pay_008620,6422.71,NETBANKING,INSUFFICIENT_FUNDS,4,0.741,RETRY,0,0.16049999999999998
pay_008620,6422.71,NETBANKING,INSUFFICIENT_FUNDS,4,0.741,SEND_REMINDER,0,0.4605000000000001
pay_002895,2715.18,WALLET,LIMIT_EXCEEDED,3,0.768,RETRY,0,0.194
pay_002895,2715.18,WALLET,LIMIT_EXCEEDED,3,0.768,SEND_REMINDER,1,0.494
pay_007844,1317.87,CARD,USER_CANCELLED,1,0.821,RETRY,1,0.6105
pay_007844,1317.87,CARD,USER_CANCELLED,1,0.821,SEND_REMINDER,1,0.7404999999999999
pay_001160,1394.28,UPI,CARD_EXPIRED,1,0.562,RETRY,0,0.13100000000000006
pay_001160,1394.28,UPI,CARD_EXPIRED,1,0.562,SEND_REMINDER,1,0.651
pay_008745,9330.07,NETBANKING,INSUFFICIENT_FUNDS,2,0.733,RETRY,0,0.2965
pay_008745,9330.07,NETBANKING,INSUFFICIENT_FUNDS,2,0.733,SEND_REMINDER,0,0.5965
pay_002167,945.12,CARD,BANK_ERROR,1,0.707,RETRY,1,0.7535000000000001
pay_002167,945.12,CARD,BANK_ERROR,1,0.707,SEND_REMINDER,0,0.4235
pay_009990,975.89,CARD,USER_CANCELLED,3,0.743,RETRY,1,0.4315000000000001
pay_009990,975.89,CARD,USER_CANCELLED,3,0.743,SEND_REMINDER,0,0.5615
pay_004630,2540.86,WALLET,USER_CANCELLED,4,0.785,RETRY,0,0.3825
pay_004630,2540.86,WALLET,USER_CANCELLED,4,0.785,SEND_REMINDER,0,0.5125
pay_008655,3375.04,NETBANKING,CARD_EXPIRED,3,0.658,RETRY,0,0.039000000000000035
pay_008655,3375.04,NETBANKING,CARD_EXPIRED,3,0.658,SEND_REMINDER,1,0.559
