payment_id,customer_id,amount,currency,payment_method,status,failure_reason,attempt_number,customer_success_rate,timestamp
pay_002226,cust_00470,5203.27,INR,UPI,SUCCESS,,1,0.925,2026-05-31 17:50:15.661676
pay_003666,cust_02240,660.97,INR,CARD,SUCCESS,,1,0.76,2026-05-31 18:30:15.661676
pay_009367,cust_01968,1396.24,INR,WALLET,FAILED,INSUFFICIENT_FUNDS,1,0.507,2026-05-31 18:41:15.661676
pay_002598,cust_00798,2141.0,INR,WALLET,SUCCESS,,1,0.67,2026-05-31 18:50:15.661676
pay_009890,cust_01364,738.48,INR,NETBANKING,SUCCESS,,1,0.623,2026-05-31 19:02:15.661676
pay_000580,cust_01808,4514.29,INR,WALLET,FAILED,INSUFFICIENT_FUNDS,2,0.926,2026-05-31 19:14:15.661676
pay_006722,cust_01564,4311.77,INR,WALLET,FAILED,CARD_EXPIRED,1,0.564,2026-05-31 19:16:15.661676
pay_008924,cust_02741,1637.43,INR,NETBANKING,SUCCESS,,1,0.643,2026-05-31 19:47:15.661676
pay_009010,cust_00007,4529.98,INR,UPI,FAILED,NETWORK_ERROR,3,0.635,2026-05-31 19:58:15.661676
pay_008231,cust_00378,1817.3,INR,NETBANKING,SUCCESS,,1,0.708,2026-05-31 19:58:15.661676
pay_006371,cust_00486,1469.75,INR,WALLET,SUCCESS,,1,0.871,2026-05-31 20:19:15.661676
pay_001999,cust_01702,1586.91,INR,CARD,FAILED,BANK_ERROR,4,0.658,2026-05-31 20:24:15.661676
pay_006730,cust_02928,7533.67,INR,WALLET,SUCCESS,,1,0.571,2026-05-31 20:32:15.661676
pay_008812,cust_01283,2355.78,INR,WALLET,SUCCESS,,1,0.779,2026-05-31 20:37:15.661676
pay_006121,cust_01480,1649.82,INR,WALLET,SUCCESS,,1,0.598,2026-05-31 20:44:15.661676
pay_003977,cust_02472,2710.78,INR,CARD,SUCCESS,,1,0.911,2026-05-31 20:52:15.661676
pay_003270,cust_01720,3032.65,INR,NETBANKING,SUCCESS,,1,0.551,2026-05-31 20:57:15.661676
pay_007055,cust_02245,2027.16,INR,UPI,SUCCESS,,1,0.947,2026-05-31 21:10:15.661676
pay_003773,cust_00921,967.19,INR,NETBANKING,SUCCESS,,1,0.742,2026-05-31 21:13:15.661676
