payment_id,customer_id,amount,currency,payment_method,status,failure_reason,attempt_number,customer_success_rate,timestamp,true_recovery_probability,recovery_attempted,recovery_success,predicted_recovery_probability,expected_recovery_value,recommended_action
pay_003717,cust_01120,24208.87,INR,WALLET,FAILED,INSUFFICIENT_FUNDS,3,0.91,2026-06-13 00:28:15.661676,0.436,True,1.0,0.5854174370331444,14172.294628868578,REVIEW
pay_006959,cust_01575,15268.15,INR,CARD,FAILED,NETWORK_ERROR,1,0.872,2026-08-13 06:19:15.661676,0.8232,True,1.0,0.815580426393743,12452.404287243626,RECOVER
pay_005809,cust_01995,15715.8,INR,WALLET,FAILED,NETWORK_ERROR,1,0.637,2026-08-25 21:39:15.661676,0.7022,True,1.0,0.7439452463297203,11691.694702268616,REVIEW
pay_005272,cust_02950,14333.11,INR,NETBANKING,FAILED,BANK_ERROR,3,0.868,2026-07-16 13:24:15.661676,0.6708,True,1.0,0.8100698905293039,11610.820848644471,RECOVER
pay_006023,cust_00251,13276.45,INR,WALLET,FAILED,USER_CANCELLED,3,0.961,2026-07-11 01:14:15.661676,0.6165999999999999,True,1.0,0.7865748954639421,10442.922270882254,RECOVER
pay_003320,cust_01177,11568.4,INR,WALLET,FAILED,BANK_ERROR,2,0.895,2026-07-18 06:34:15.661676,0.807,True,1.0,0.8699244940520581,10063.634516991828,RECOVER
pay_005205,cust_01669,12153.48,INR,WALLET,FAILED,BANK_ERROR,1,0.644,2026-07-20 00:51:15.661676,0.7364,True,1.0,0.8104686295455285,9850.01427980899,RECOVER
pay_006017,cust_00066,10330.44,INR,UPI,FAILED,BANK_ERROR,3,0.905,2026-08-03 17:52:15.661676,0.753,True,1.0,0.8114884279197607,8383.032515319414,RECOVER
pay_006043,cust_02821,10526.08,INR,NETBANKING,FAILED,TIMEOUT,1,0.783,2026-07-26 09:02:15.661676,0.7098,True,1.0,0.793174497470571,8349.018214335028,RECOVER
pay_003193,cust_01841,11218.52,INR,NETBANKING,FAILED,USER_CANCELLED,2,0.811,2026-06-28 01:44:15.661676,0.5666000000000001,True,1.0,0.7406803520251276,8309.337342800934,REVIEW
pay_001414,cust_02527,10218.98,INR,NETBANKING,FAILED,NETWORK_ERROR,1,0.769,2026-08-09 12:08:15.661676,0.7414,True,1.0,0.7840001793487317,8011.682152761102,RECOVER
pay_000375,cust_02521,10122.8,INR,WALLET,FAILED,TIMEOUT,3,0.954,2026-06-23 08:07:15.661676,0.6923999999999999,True,0.0,0.7769236283487904,7864.642505049134,RECOVER
pay_003410,cust_02341,9297.4,INR,NETBANKING,FAILED,BANK_ERROR,2,0.87,2026-08-28 23:38:15.661676,0.752,True,0.0,0.8442353509232225,7849.193751673569,RECOVER
pay_001496,cust_01788,8999.05,INR,UPI,FAILED,BANK_ERROR,3,0.984,2026-08-21 05:18:15.661676,0.8004,True,1.0,0.8435311479401841,7590.978976871113,RECOVER
pay_004717,cust_01801,12218.39,INR,NETBANKING,FAILED,LIMIT_EXCEEDED,2,0.922,2026-08-10 15:15:15.661676,0.4132,True,0.0,0.5813037317170597,7102.595702574406,REVIEW
pay_007167,cust_02395,8252.82,INR,CARD,FAILED,BANK_ERROR,1,0.723,2026-06-11 04:24:15.661676,0.7638,True,0.0,0.7819850569106609,6453.58191737344,RECOVER
